Fecha,PRECIP,EVAP,TMAX,TMIN
01/04/2016,0,7.8,24,12
02/04/2016,0,5.4,25,7
03/04/2016,0,5.8,24,6
04/04/2016,0,6.6,26,6
05/04/2016,0,5.6,28,9
06/04/2016,0,6.8,29,7
07/04/2016,0,5.2,28,5
08/04/2016,0,7.4,27,6
09/04/2016,0,6.4,27,6
10/04/2016,0,3.4,26,9
11/04/2016,0,2,27,10
12/04/2016,0,5.4,27,9
13/04/2016,0,6.6,28,11
14/04/2016,0,4.8,25,8
15/04/2016,0,7.2,25,9
16/04/2016,0,7.2,25,9
17/04/2016,0,7,26,10
18/04/2016,5,2.5,24,10
19/04/2016,13,6.3,19,8
20/04/2016,14,2.4,20,8
21/04/2016,5,3.4,20,8
22/04/2016,4,2.9,20,8
23/04/2016,2,2.7,17,9
24/04/2016,0,5.4,21,10
25/04/2016,0,4.4,21,8
26/04/2016,0,5.2,22,9
27/04/2016,0,6.8,24,8
28/04/2016,0,7.9,25,9
29/04/2016,0,10,26,11
30/04/2016,0,7.6,25,11
01/05/2016,0,6.9,26,10
02/05/2016,0,6.8,28,10
03/05/2016,0,6,25,11
04/05/2016,2,4.4,25,11
05/05/2016,0,4,25,10
06/05/2016,0,5.6,27,7
07/05/2016,0,8,28,6
08/05/2016,0,7,29,9
09/05/2016,7,5.1,28,11
10/05/2016,14,6.9,27,11
11/05/2016,0,6.6,26,8
12/05/2016,0,3.8,25,9
13/05/2016,0,4.8,22,8
14/05/2016,0,3.8,22,7
15/05/2016,2,2.9,20,11
16/05/2016,0,3.5,22,11
17/05/2016,8,3.4,24,10
18/05/2016,3,4.6,24,10
19/05/2016,0,4.9,24,11
20/05/2016,17,6.7,27,11
21/05/2016,0,5.7,25,11
22/05/2016,0,4.6,26,10
23/05/2016,1.5,3.8,25,11
24/05/2016,3.5,4.9,25,12
25/05/2016,0,6.7,28,10
26/05/2016,0,7.6,28,12
27/05/2016,11,4.6,25,12
28/05/2016,9,6,25,10
29/05/2016,0,3.6,24,8
30/05/2016,0,4.4,25,12
31/05/2016,0.5,4.233,24,10
01/06/2016,10,11.4,22,9
02/06/2016,0,2.9,20,10
03/06/2016,6,4,20,9
04/06/2016,8,3.4,20,8
05/06/2016,22.5,4,20,7
06/06/2016,0,4.5,20,7
07/06/2016,9.5,3.2,21,10
08/06/2016,1,3.2,20,8
09/06/2016,28.5,6.6,20,12
10/06/2016,11,2.3,22,11
11/06/2016,0,4.4,22,11
12/06/2016,6,2.8,20,9
13/06/2016,1.5,1,20,9
14/06/2016,9.5,5.6,21,11
15/06/2016,0,5.5,21,12
16/06/2016,0,3.7,24,10
17/06/2016,0,4.6,24,13
18/06/2016,0,6.8,23,8
19/06/2016,0.5,2.1,21,8
20/06/2016,32,6.4,18,10
21/06/2016,0,2.6,18,10
22/06/2016,11.7,8.1,22,8
23/06/2016,0,4,21,7
24/06/2016,3,1.4,22,7
25/06/2016,4,4.2,21,11
26/06/2016,0,2.9,22,12
27/06/2016,12,6.9,21,9
28/06/2016,0,5.1,22,8
29/06/2016,12,7,22,9
30/06/2016,0,4.233,21,8
01/07/2016,6.5,4.5,22,9
02/07/2016,0,4,23,10
03/07/2016,5.5,6,24,8
04/07/2016,9,5,23,8
05/07/2016,0,2.8,22,8
06/07/2016,0,6.4,22,8
07/07/2016,1,3.8,23,10
08/07/2016,0.5,5,25,8
09/07/2016,0,7,24,9
10/07/2016,0,4.3,23,8
11/07/2016,20,5.7,20,9
12/07/2016,0,4.7,21,11
13/07/2016,6,3.7,21,8
14/07/2016,0,5.3,19,10
15/07/2016,0,3.3,22,6
16/07/2016,1,1.2,22,6
17/07/2016,0,7.5,22,8
18/07/2016,0,4.8,22,8
19/07/2016,3.3,4.2,22,9
20/07/2016,0,5.1,20,11
21/07/2016,1,1.5,20,11
22/07/2016,0,5.6,23,11
23/07/2016,5.5,6.1,21,11
24/07/2016,0,3.1,24,7
25/07/2016,0,3.7,23,8
26/07/2016,0,5,22,8
27/07/2016,7.3,3.8,23,9
28/07/2016,0,3.5,23,9
29/07/2016,0,5,22,8
30/07/2016,0,4.6,22,9
31/07/2016,0,4.233,22,10
01/08/2016,0.2,7.9,22,6
02/08/2016,10.5,3.7,21,8
03/08/2016,0,1.9,24,7
04/08/2016,0,2.4,24,9
05/08/2016,16.5,7.8,20,11
06/08/2016,24,4.9,18,12
07/08/2016,15,6,19,12
08/08/2016,2.5,3.2,20,12
09/08/2016,31,9.6,22,12
10/08/2016,0,4,21,12
11/08/2016,3.5,3.7,22,9
12/08/2016,2,5.2,24,8
13/08/2016,0,5.2,24,8
14/08/2016,0,4.4,22,9
15/08/2016,2,2.6,22,7
16/08/2016,0,2.1,10,7
17/08/2016,0,2.6,11,10
18/08/2016,34.5,7.4,21,11
19/08/2016,3.5,6,22,11
20/08/2016,8,4.8,21,11
21/08/2016,0,4.2,22,8
22/08/2016,0,0.6,17,8
23/08/2016,2.5,2.5,20,8
24/08/2016,0,4.3,21,9
25/08/2016,0,2.9,22,7
26/08/2016,0,4,24,8
27/08/2016,2,5.5,24,8
28/08/2016,5.5,4,23,8
29/08/2016,0,4.7,25,8
30/08/2016,0,5.1,24,7
31/08/2016,0,4.233,24,5
01/09/2016,0,3.2,24,6
02/09/2016,5,5.2,22,8
03/09/2016,21,7.1,24,11
04/09/2016,18,9.8,18,12
05/09/2016,0,2.8,18,12
06/09/2016,0,4.3,22,8
07/09/2016,0,3.1,19,8
08/09/2016,0,4.2,22,4
09/09/2016,0,3.2,22,5
10/09/2016,0,5.4,25,5
11/09/2016,0,3.8,24,9
12/09/2016,1,3.4,21,12
13/09/2016,3.5,3.7,25,12
14/09/2016,0,5,24,8
15/09/2016,0,2.6,23,8
16/09/2016,0,3.4,23,10
17/09/2016,0,2.4,24,9
18/09/2016,2,1,24,7
19/09/2016,0.5,4.8,22,7
20/09/2016,13,3.9,22,8
21/09/2016,0,2,18,8
22/09/2016,0,1.8,20,9
23/09/2016,2.7,2.4,22,7
24/09/2016,0,3.8,22,8
25/09/2016,0.5,2.6,24,9
26/09/2016,0,2.2,20,9
27/09/2016,8.5,2.1,18,8
28/09/2016,29,3.8,19,9
29/09/2016,6,4.1,23,10
30/09/2016,23,4.233,22.423,10
01/10/2016,49,13.8,22,10
02/10/2016,12,3.2,21,8
03/10/2016,1,2.6,21,9
04/10/2016,0.5,2.7,22,10
05/10/2016,0,2.9,23,8
06/10/2016,0,3.9,24,7
07/10/2016,0,4.1,22,8
08/10/2016,0,5.6,21,8
09/10/2016,0,0.8,17,8
10/10/2016,0,1.8,20,8
11/10/2016,0,3.1,23,8
12/10/2016,0,5.3,23,9
13/10/2016,0,3.8,22,9
14/10/2016,0,4,24,4
15/10/2016,0,4.2,24,4
16/10/2016,3.5,2.2,25,5
17/10/2016,0,1.8,23,6
18/10/2016,0,3,23,5
19/10/2016,0,3,23,8
20/10/2016,0,4.4,23,7
21/10/2016,0,2.6,20,7
22/10/2016,0,3,21,7
23/10/2016,1,2.1,22,8
24/10/2016,0,3,24,8
25/10/2016,0,3.9,22,4
26/10/2016,0,3.1,21,2
27/10/2016,0,4,17,3
28/10/2016,0,2.4,17,4
29/10/2016,0,2.4,20,4
30/10/2016,1,1.6,21,4
31/10/2016,0,4.233,22,6
01/11/2016,0,5.1,24,8
02/11/2016,0,2.7,24,5
03/11/2016,0,4.4,21,7
04/11/2016,0,3.2,21,8
05/11/2016,1,3.8,22,8
06/11/2016,0,2.6,24,4
07/11/2016,0,3.6,25,7
08/11/2016,0,2,20,7
09/11/2016,0.5,2.4,18,8
10/11/2016,0,2,18,8
11/11/2016,2,1.6,20,8
12/11/2016,0,1.6,20,8
13/11/2016,0,2.6,21,7
14/11/2016,0,2.6,33,8
15/11/2016,0,2.6,29,9
16/11/2016,1.3,3,16,9
17/11/2016,0,3.7,18,6
18/11/2016,0,2,22,6
19/11/2016,0,3.6,16,8
20/11/2016,0,1.6,16,7
21/11/2016,0,4.5,21,2
22/11/2016,0,2.8,22,0
23/11/2016,0,3.7,22,2
24/11/2016,0,3.6,21,0
25/11/2016,0,2.4,21,-2
26/11/2016,0,3.2,21,5
27/11/2016,0,4.4,21,1
28/11/2016,0,2.6,21,4
29/11/2016,0,5.3,21,9
30/11/2016,0,3,22,5
01/04/2017,0,11.4,25,9
02/04/2017,0,7.4,24,9
03/04/2017,0,10.2,25,6
04/04/2017,0,7,24,6
05/04/2017,0,8,28,10
06/04/2017,0,3.4,24,10
07/04/2017,0,4,25,8
08/04/2017,3,5.8,24,8
09/04/2017,6.7,2.3,24,7
10/04/2017,0,2.4,24,8
11/04/2017,0,6.4,24,6
12/04/2017,0,5.3,22,4
13/04/2017,0,5.8,24,3
14/04/2017,0,1.6,23,3
15/04/2017,0,5,25,3
16/04/2017,10,3.3,24,5
17/04/2017,14.3,4.9,22,7
18/04/2017,0,2.4,18,9
19/04/2017,0,4,19,5
20/04/2017,0,5.5,21,4
21/04/2017,9.4,6.1,22,4
22/04/2017,0,4.6,24,7
23/04/2017,1.8,4.5,23,5
24/04/2017,3,4.7,22,6
25/04/2017,0,5.3,22,7
26/04/2017,0,8,24,11
27/04/2017,0,8.9,25,9
28/04/2017,0,6,24,9
29/04/2017,0,8.4,25,11
30/04/2017,0,4.233,27,11
01/05/2017,0,6.6,27,11
02/05/2017,3.5,6.4,26,13
03/05/2017,0,5.3,25,11
04/05/2017,7.3,6,22,10
05/05/2017,0,1.4,19,10
06/05/2017,0,6.5,25,6
07/05/2017,6,4.1,24,5
08/05/2017,0,6,25,9
09/05/2017,0,5.2,25,9
10/05/2017,8,5.8,28,10
11/05/2017,0,6.2,27,9
12/05/2017,10.5,5.2,25,9
13/05/2017,10,4.3,23,11
14/05/2017,0,4.2,22,6
15/05/2017,0,4.9,25,9
16/05/2017,0,4.2,25,9
17/05/2017,9,6.3,26,12
18/05/2017,5.5,7.6,26,12
19/05/2017,19.5,6.9,26,12
20/05/2017,0,6.6,25.6,11
21/05/2017,0,5.9,25,9
22/05/2017,0,2.8,25,11
23/05/2017,0,6,25,11
24/05/2017,0,4.1,25,15
25/05/2017,0,6.2,23,13
26/05/2017,0,6,27,11
27/05/2017,4,6.9,26,11
28/05/2017,3.5,4,21,10
29/05/2017,29,6.4,20,11
30/05/2017,3,4.233,20,11
31/05/2017,15.5,4.233,19,12
01/06/2017,12.5,2.8,16,12
02/06/2017,5,3.8,20,11
03/06/2017,0,4.8,24,11
04/06/2017,0,4.8,24,8
05/06/2017,12.5,9.8,22,11
06/06/2017,7.5,4.1,20,11
07/06/2017,9.5,5.6,21,8
08/06/2017,0,6.1,24,9
09/06/2017,0,2,21,8
10/06/2017,5,4.2,21,9
11/06/2017,0,3.4,22,9
12/06/2017,0,0.2,25,10
13/06/2017,0,8.9,22,10
14/06/2017,0,4.7,23,11
15/06/2017,0,4.6,25,12
16/06/2017,0,4.4,23,8
17/06/2017,0,5.3,24,10
18/06/2017,0,4.8,24,8
19/06/2017,0,7.5,24,10
20/06/2017,0,7.2,23,8
21/06/2017,0,2.6,24,5
22/06/2017,0,5.7,25,8
23/06/2017,12,7.9,25,8
24/06/2017,3,1.8,22,10
25/06/2017,6.5,1,18,13
26/06/2017,20,9.4,20,12
27/06/2017,6.5,17.1,18,12
28/06/2017,20,9.4,20,12
29/06/2017,0,3.7,21,12
30/06/2017,34,4.233,20,13
01/07/2017,0,4,21,9
02/07/2017,4,3.4,21,7
03/07/2017,0,2.4,21,7
04/07/2017,1.5,4.1,22,10
05/07/2017,18,4.6,22,9
06/07/2017,39,7.6,21,8
07/07/2017,2.5,5.2,19,9
08/07/2017,7.5,0.4,17,11
09/07/2017,15.5,3,19,11
10/07/2017,16.5,3.8,21,10
11/07/2017,6.5,2,20,10
12/07/2017,0,3,20,10
13/07/2017,0,5.4,21,8
14/07/2017,0,5.1,22,8
15/07/2017,7,5.2,23,8
16/07/2017,28,7.2,20,8
17/07/2017,6.5,4.6,21,9
18/07/2017,13.5,6.8,22,8
19/07/2017,0,4,21,9
20/07/2017,10,4.2,22,9
21/07/2017,12,5.3,22,9
22/07/2017,0,5.1,22,7
23/07/2017,1.5,2.9,23,8
24/07/2017,0,0.7,22,10
25/07/2017,0,1.8,18,11
26/07/2017,0,4.5,21,8
27/07/2017,0,2.6,22,9
28/07/2017,0,6.4,25,5
29/07/2017,41,12.8,24,5
30/07/2017,4,5.4,24,8
31/07/2017,1,4.233,24,8
01/08/2017,1,4.2,24,8
02/08/2017,0,3.6,24,8
03/08/2017,20.5,7.3,21,8
04/08/2017,5,3.2,23,9
05/08/2017,0,4.8,22,9
06/08/2017,0,3.4,24,9
07/08/2017,0,5.8,25,9
08/08/2017,0,7,24,7
09/08/2017,14,1.4,17,8
10/08/2017,7.5,6.8,14,12
11/08/2017,0,2.4,22,9
12/08/2017,0,0.3,21,9
13/08/2017,0,4.4,22,7
14/08/2017,0,4.4,25,7
15/08/2017,4,5.6,25,8
16/08/2017,0,2.6,22,9
17/08/2017,0,4.9,25,10
18/08/2017,1,4.4,25,9
19/08/2017,0,4.8,24,8
20/08/2017,0,5.2,25,8
21/08/2017,0,2.6,22,8
22/08/2017,0,1.6,25,8
23/08/2017,0,2.6,23,9
24/08/2017,0,3.7,23,8
25/08/2017,1.5,1.9,22,8
26/08/2017,11,10.3,25,10
27/08/2017,2,0,23,10
28/08/2017,47,4.7,21,11
29/08/2017,17.5,3.4,19,11
30/08/2017,23.5,4.233,18,12
31/08/2017,13.5,4.233,20,12
01/09/2017,13.5,2.8,20,8
02/09/2017,21.5,1.9,18,12
03/09/2017,13,3.1,18,12
04/09/2017,14,3.1,21,12
05/09/2017,2.5,3.1,21,10
06/09/2017,11.5,1.6,18,11
07/09/2017,0,5.7,18,11
08/09/2017,9,4.4,17,10
09/09/2017,3,3.5,20,11
10/09/2017,4,3.6,18,11
11/09/2017,0,0.9,18,5
12/09/2017,0,5.3,23,4
13/09/2017,18.5,4.3,23,3
14/09/2017,6,1.2,20,7
15/09/2017,0,3,22,10
16/09/2017,0,4,21,10
17/09/2017,0,2.2,25,10
18/09/2017,0,4.2,23,9
19/09/2017,0,3.1,24,8
20/09/2017,0,3.1,24,8
21/09/2017,0,1.9,24,9
22/09/2017,12,7.1,24,12
23/09/2017,23,5.8,22,9
24/09/2017,16.3,4.8,21,10
25/09/2017,6.5,4.8,21,12
26/09/2017,36,3.4,22,12
27/09/2017,0,0.4,18,12
28/09/2017,1.5,0.6,16,13
29/09/2017,0,2.8,18,12
30/09/2017,0,4.233,19,11
01/10/2017,0,2,21,10
02/10/2017,0,1.8,17,9
03/10/2017,0,2.1,18,10
04/10/2017,4,3,20,10
05/10/2017,0,3.1,19,11
06/10/2017,0,7.5,21,9
07/10/2017,0,4,19,5
08/10/2017,0,3.3,22,9
09/10/2017,5.5,4.7,23,9
10/10/2017,1.5,1.4,20,9
11/10/2017,0,2.5,18,9
12/10/2017,0,1.8,15,10
13/10/2017,0,4.7,20,10
14/10/2017,0,2.9,22,7
15/10/2017,0,0.4,22,7
16/10/2017,0,3.2,20,9
17/10/2017,0,5.2,20,8
18/10/2017,1,1.6,24,9
19/10/2017,0,3.1,25,7
20/10/2017,0,2.8,24,6
21/10/2017,0,2.2,23,3
22/10/2017,0,3.7,21,5
23/10/2017,0,6.7,17,5
24/10/2017,0,4,16,8
25/10/2017,0,3.8,16,6
26/10/2017,0,2.4,22,3
27/10/2017,0,5,24,4
28/10/2017,0,4.3,21,5
29/10/2017,0,1.4,20,7
30/10/2017,0,2.9,19,7
31/10/2017,0,4.233,19,8
01/11/2017,2.2,3.4,25,7
02/11/2017,0,5,25,8
03/11/2017,0,2.4,26,6
04/11/2017,0,3.2,24,4
05/11/2017,0,4.4,25,4
06/11/2017,0,4.8,26,3
07/11/2017,0,4.9,25,2
08/11/2017,0,6,26,4
09/11/2017,0,3.4,22,4
10/11/2017,0,1.6,20,5
11/11/2017,0,3.8,23,5
12/11/2017,0,6,23,5
13/11/2017,0,3.9,20,5
14/11/2017,0,2.4,22,6
15/11/2017,0,4.8,24,4
16/11/2017,0,2.6,22,1
17/11/2017,0,4.3,23,1
