Fecha,PRECIP,EVAP,TMAX,TMIN,DIAS,HOJAS
01/04/2016,0,7.8,24,12,1,0
02/04/2016,0,5.4,25,7,2,0
03/04/2016,0,5.8,24,6,3,0
04/04/2016,0,6.6,26,6,4,0
05/04/2016,0,5.6,28,9,5,0
06/04/2016,0,6.8,29,7,6,0
07/04/2016,0,5.2,28,5,7,0
08/04/2016,0,7.4,27,6,8,1
09/04/2016,0,6.4,27,6,9,1
10/04/2016,0,3.4,26,9,10,1
11/04/2016,0,2,27,10,11,1
12/04/2016,0,5.4,27,9,12,2
13/04/2016,0,6.6,28,11,13,2
14/04/2016,0,4.8,25,8,14,2
15/04/2016,0,7.2,25,9,15,2
16/04/2016,0,7.2,25,9,16,3
17/04/2016,0,7,26,10,17,3
18/04/2016,5,2.5,24,10,18,3
19/04/2016,13,6.3,19,8,19,3
20/04/2016,14,2.4,20,8,20,4
21/04/2016,5,3.4,20,8,21,4
22/04/2016,4,2.9,20,8,22,4
23/04/2016,2,2.7,17,9,23,4
24/04/2016,0,5.4,21,10,24,5
25/04/2016,0,4.4,21,8,25,5
26/04/2016,0,5.2,22,9,26,5
27/04/2016,0,6.8,24,8,27,5
28/04/2016,0,7.9,25,9,28,6
29/04/2016,0,10,26,11,29,6
30/04/2016,0,7.6,25,11,30,6
01/05/2016,0,6.9,26,10,31,6
02/05/2016,0,6.8,28,10,32,7
03/05/2016,0,6,25,11,33,7
04/05/2016,2,4.4,25,11,34,7
05/05/2016,0,4,25,10,35,7
06/05/2016,0,5.6,27,7,36,8
07/05/2016,0,8,28,6,37,8
08/05/2016,0,7,29,9,38,8
09/05/2016,7,5.1,28,11,39,9
10/05/2016,14,6.9,27,11,40,9
11/05/2016,0,6.6,26,8,41,9
12/05/2016,0,3.8,25,9,42,10
13/05/2016,0,4.8,22,8,43,10
14/05/2016,0,3.8,22,7,44,10
15/05/2016,2,2.9,20,11,45,11
16/05/2016,0,3.5,22,11,46,11
17/05/2016,8,3.4,24,10,47,11
18/05/2016,3,4.6,24,10,48,12
19/05/2016,0,4.9,24,11,49,12
20/05/2016,17,6.7,27,11,50,12
21/05/2016,0,5.7,25,11,51,13
22/05/2016,0,4.6,26,10,52,13
23/05/2016,1.5,3.8,25,11,53,13
24/05/2016,3.5,4.9,25,12,54,14
25/05/2016,0,6.7,28,10,55,14
26/05/2016,0,7.6,28,12,56,14
27/05/2016,11,4.6,25,12,57,15
28/05/2016,9,6,25,10,58,15
29/05/2016,0,3.6,24,8,59,15
30/05/2016,0,4.4,25,12,60,16
31/05/2016,0.5,4.233,24,10,61,16
01/06/2016,10,11.4,22,9,62,16
02/06/2016,0,2.9,20,10,63,16
03/06/2016,6,4,20,9,64,17
04/06/2016,8,3.4,20,8,65,17
05/06/2016,22.5,4,20,7,66,17
06/06/2016,0,4.5,20,7,67,18
07/06/2016,9.5,3.2,21,10,68,18
08/06/2016,1,3.2,20,8,69,18
09/06/2016,28.5,6.6,20,12,70,19
10/06/2016,11,2.3,22,11,71,19
11/06/2016,0,4.4,22,11,72,19
12/06/2016,6,2.8,20,9,73,20
13/06/2016,1.5,1,20,9,74,20
14/06/2016,9.5,5.6,21,11,75,20
15/06/2016,0,5.5,21,12,76,21
16/06/2016,0,3.7,24,10,77,21
17/06/2016,0,4.6,24,13,78,21
18/06/2016,0,6.8,23,8,79,22
19/06/2016,0.5,2.1,21,8,80,22
20/06/2016,32,6.4,18,10,81,22
21/06/2016,0,2.6,18,10,82,22
22/06/2016,11.7,8.1,22,8,83,22
23/06/2016,0,4,21,7,84,22
24/06/2016,3,1.4,22,7,85,22
25/06/2016,4,4.2,21,11,86,22
26/06/2016,0,2.9,22,12,87,23
27/06/2016,12,6.9,21,9,88,23
28/06/2016,0,5.1,22,8,89,23
29/06/2016,12,7,22,9,90,23
30/06/2016,0,4.233,21,8,91,23
01/07/2016,6.5,4.5,22,9,92,23
02/07/2016,0,4,23,10,93,23
03/07/2016,5.5,6,24,8,94,23
04/07/2016,9,5,23,8,95,23
05/07/2016,0,2.8,22,8,96,23
06/07/2016,0,6.4,22,8,97,23
07/07/2016,1,3.8,23,10,98,23
08/07/2016,0.5,5,25,8,99,23
09/07/2016,0,7,24,9,100,23
10/07/2016,0,4.3,23,8,101,23
11/07/2016,20,5.7,20,9,102,23
12/07/2016,0,4.7,21,11,103,23
13/07/2016,6,3.7,21,8,104,24
14/07/2016,0,5.3,19,10,105,24
15/07/2016,0,3.3,22,6,106,24
16/07/2016,1,1.2,22,6,107,24
17/07/2016,0,7.5,22,8,108,24
18/07/2016,0,4.8,22,8,109,24
19/07/2016,3.3,4.2,22,9,110,24
20/07/2016,0,5.1,20,11,111,24
21/07/2016,1,1.5,20,11,112,24
22/07/2016,0,5.6,23,11,113,24
23/07/2016,5.5,6.1,21,11,114,24
24/07/2016,0,3.1,24,7,115,24
25/07/2016,0,3.7,23,8,116,24
26/07/2016,0,5,22,8,117,24
27/07/2016,7.3,3.8,23,9,118,24
28/07/2016,0,3.5,23,9,119,24
29/07/2016,0,5,22,8,120,24
30/07/2016,0,4.6,22,9,121,24
31/07/2016,0,4.233,22,10,122,24
01/08/2016,0.2,7.9,22,6,123,24
02/08/2016,10.5,3.7,21,8,124,24
03/08/2016,0,1.9,24,7,125,24
04/08/2016,0,2.4,24,9,126,24
05/08/2016,16.5,7.8,20,11,127,24
06/08/2016,24,4.9,18,12,128,24
07/08/2016,15,6,19,12,129,24
08/08/2016,2.5,3.2,20,12,130,24
09/08/2016,31,9.6,22,12,131,24
10/08/2016,0,4,21,12,132,24
11/08/2016,3.5,3.7,22,9,133,24
12/08/2016,2,5.2,24,8,134,24
13/08/2016,0,5.2,24,8,135,24
14/08/2016,0,4.4,22,9,136,24
15/08/2016,2,2.6,22,7,137,24
16/08/2016,0,2.1,10,7,138,24
17/08/2016,0,2.6,11,10,139,24
18/08/2016,34.5,7.4,21,11,140,24
19/08/2016,3.5,6,22,11,141,24
20/08/2016,8,4.8,21,11,142,24
21/08/2016,0,4.2,22,8,143,24
22/08/2016,0,0.6,17,8,144,24
23/08/2016,2.5,2.5,20,8,145,24
24/08/2016,0,4.3,21,9,146,24
25/08/2016,0,2.9,22,7,147,24
26/08/2016,0,4,24,8,148,24
27/08/2016,2,5.5,24,8,149,24
28/08/2016,5.5,4,23,8,150,24
29/08/2016,0,4.7,25,8,151,24
30/08/2016,0,5.1,24,7,152,24
31/08/2016,0,4.233,24,5,153,24
01/09/2016,0,3.2,24,6,154,24
02/09/2016,5,5.2,22,8,155,24
03/09/2016,21,7.1,24,11,156,24
04/09/2016,18,9.8,18,12,157,24
05/09/2016,0,2.8,18,12,158,24
06/09/2016,0,4.3,22,8,159,24
07/09/2016,0,3.1,19,8,160,24
08/09/2016,0,4.2,22,4,161,24
09/09/2016,0,3.2,22,5,162,24
10/09/2016,0,5.4,25,5,163,24
11/09/2016,0,3.8,24,9,164,24
12/09/2016,1,3.4,21,12,165,24
13/09/2016,3.5,3.7,25,12,166,24
14/09/2016,0,5,24,8,167,24
15/09/2016,0,2.6,23,8,168,24
16/09/2016,0,3.4,23,10,169,24
17/09/2016,0,2.4,24,9,170,24
18/09/2016,2,1,24,7,171,24
19/09/2016,0.5,4.8,22,7,172,24
20/09/2016,13,3.9,22,8,173,24
21/09/2016,0,2,18,8,174,24
22/09/2016,0,1.8,20,9,175,24
23/09/2016,2.7,2.4,22,7,176,24
24/09/2016,0,3.8,22,8,177,24
25/09/2016,0.5,2.6,24,9,178,24
26/09/2016,0,2.2,20,9,179,24
27/09/2016,8.5,2.1,18,8,180,24
28/09/2016,29,3.8,19,9,181,24
29/09/2016,6,4.1,23,10,182,24
30/09/2016,23,4.233,22.423,10,183,24
01/10/2016,49,13.8,22,10,184,24
02/10/2016,12,3.2,21,8,185,24
03/10/2016,1,2.6,21,9,186,24
04/10/2016,0.5,2.7,22,10,187,24
05/10/2016,0,2.9,23,8,188,24
06/10/2016,0,3.9,24,7,189,24
07/10/2016,0,4.1,22,8,190,24
